time mnvel errvel tel
2458730.377170139 54.069119155002454 93.9423676383558 foces
2458730.3834953704 24.09119492204477 20.857522623744174 foces
2458730.3921006946 10.350080024066267 16.537863752613273 foces
2458730.3989872686 6.536111755634957 12.876953735258974 foces
2458730.405862269 5.378279066914953 13.674188732791428 foces
2458730.412748843 8.766720350010567 16.063652682375825 foces
2458730.4196238425 -0.306714323262705 11.370177549185415 foces
2458730.431070602 2.6441383311715505 8.24530169247918 foces
2458730.4539872687 2.289937851742903 10.200903758981358 foces
2458730.4608391207 -7.417120085412664 8.668243045738855 foces
2458730.4677256946 -12.706725624437077 7.446979253361728 foces
2458730.4780497686 0.01 34.15658794434831 foces
2458730.488373843 -18.300564747977788 6.935844397043523 foces
2458730.495260417 -10.453658405639493 7.858355425914509 foces
2458730.502146991 -23.05998412952572 4.794788837894742 foces
2458730.5123553243 -21.77929544352063 2.951429738279399 foces
2458745.337309028 -272.6056443098979 34.15658794434831 foces
2458745.346927084 -272.2908724182761 40.1032729337644 foces
2458745.358408565 -276.9715743904393 44.60617600176011 foces
2458745.369913195 -279.2084035176989 41.29819532982041 foces
2458745.3858159725 -293.6496886694042 44.50961623626966 foces
2458745.397320602 -294.7927829857897 42.69134865520179 foces
2458745.4088368057 -317.1612250711401 46.615109540791615 foces
2458746.469496528 -277.11071863622124 102.6952819631944 foces
2458746.475572917 -267.14812537956817 110.63675926201022 foces
2458746.4836053243 -278.6827815369953 118.14727435493383 foces
2458746.49166088 -272.1511712932888 118.6387202286842 foces
2458746.501568287 -274.53191086622934 109.27019836167591 foces
2458746.509612269 -264.35799294740286 96.25555016465286 foces
2458746.5176678244 -268.44330294639224 97.66107848063115 foces
2458746.5257002315 -259.4238890432973 92.29080906298307 foces
2450002.665695 -52.9 4.1 lick
2450002.684340 -45.8 4.8 lick
2450002.800220 -60.8 4.6 lick
2450002.815961 -53.3 5.0 lick
2450002.954711 -60.9 5.5 lick
2450002.968287 -57.3 7.0 lick
2450003.611377 -24.2 5.0 lick
2450003.626898 -30.5 4.6 lick
2450003.642963 -26.0 4.9 lick
2450003.716586 -19.2 4.2 lick
2450003.732488 -23.5 4.3 lick
2450003.747488 -21.2 4.1 lick
2450003.886863 -13.5 4.5 lick
2450003.902315 -14.7 4.7 lick
2450003.917083 -11.9 5.5 lick
2450004.601708 39.7 2.6 lick
2450004.619537 38.0 3.9 lick
2450004.785324 48.8 2.4 lick
2450004.907253 53.2 3.1 lick
2450005.604647 36.6 2.6 lick
2450005.917766 8.7 4.8 lick
2450005.931539 8.2 4.6 lick
2450011.631285 -55.7 6.8 lick
2450011.656319 -56.4 6.1 lick
2450011.826574 -45.6 7.0 lick
2450011.848889 -50.6 6.7 lick
2450012.624850 21.7 7.2 lick
2450012.647407 20.3 7.6 lick
2450012.857500 29.5 8.1 lick
2450012.880313 26. 10. lick
2450013.612662 52.3 6.4 lick
2450013.635625 57.3 6.7 lick
2450013.823021 54.3 7.3 lick
2450013.842350 33. 11. lick
2450014.632407 -8.8 7.4 lick
2450014.654248 -9.5 7.3 lick
2450014.711505 -7.7 7.2 lick
2450014.734514 -15.6 7.4 lick
2450014.804063 -24.4 6.1 lick
2450014.826817 -15.8 6.2 lick
2450014.896100 -37.6 8.8 lick
2450014.919560 -27. 13. lick
2450015.613912 -52.5 7.2 lick
2450015.636215 -61.1 6.1 lick
2450015.734225 -54.7 6.7 lick
2450015.757269 -52.7 6.6 lick
2450015.853368 -65.8 8.1 lick
2450015.876921 -53.8 7.8 lick
2450016.600139 10.8 6.8 lick
2450016.630394 -5.8 6.6 lick
2450016.750521 4.9 6.5 lick
2450016.772500 3.2 7.0 lick
2450016.836400 9.2 8.8 lick
2450016.860336 13.1 9.1 lick
2450017.723137 58.0 5.9 lick
2450017.746840 55.4 6.4 lick
2450017.837141 55.1 7.4 lick
2450017.858681 52.3 9.6 lick
2450018.602975 14.3 8.1 lick
2450018.624167 15.1 6.2 lick
2450018.754653 2.5 7.7 lick
2450018.778021 -2.3 7.7 lick
2450018.845972 -27.0 8.1 lick
2450018.868287 6.1 9.7 lick
2450019.611632 -47.6 6.5 lick
2450019.633738 -53.1 6.6 lick
2450019.723484 -56.8 6.0 lick
2450019.744676 -73.1 7.3 lick
2450019.838044 -62.2 6.0 lick
2450019.860139 -69.9 7.2 lick
2450020.602187 -25.3 5.6 lick
2450020.624931 -22.4 5.6 lick
2450020.729340 -14.8 5.2 lick
2450020.752986 -11.2 6.1 lick
2450020.842303 -6.0 7.5 lick
2450020.864352 4.9 7.0 lick
2450021.604722 37.3 6.0 lick
2450021.627025 60.2 6.0 lick
2450021.649803 58.6 6.4 lick
2450021.672685 46.2 5.9 lick
2450021.698472 48.9 7.6 lick
2450021.721956 69. 11. lick
2450021.744630 29. 12. lick
2450023.588264 -39.2 6.9 lick
2450023.610405 -38.2 7.5 lick
2450023.632975 -42.7 6.3 lick
2450023.655775 -48.1 6.0 lick
2450023.678507 -39.9 6.6 lick
2450023.701042 -40.1 6.6 lick
2450023.725833 -48.8 6.7 lick
2450024.630289 -41.3 3.5 lick
2450024.648183 -46.0 3.7 lick
2450024.717917 -40.6 4.4 lick
2450024.733160 -36.0 4.2 lick
2450024.809340 -31.1 4.9 lick
2450024.824537 -30.7 5.4 lick
2450025.609005 38.2 6.7 lick
2450025.632338 33.8 6.1 lick
2450025.704086 39.0 6.0 lick
2450025.726481 48.3 6.8 lick
2450025.749722 36.3 6.5 lick
2450025.772176 53.7 6.4 lick
2450026.601551 60. 12. lick
2450026.622500 55.2 6.9 lick
2450026.644688 63.9 7.1 lick
2450026.667488 48. 11. lick
2450026.690567 60.2 9.5 lick
2450026.714259 57.7 8.9 lick
2450026.736551 47.6 7.4 lick
2450027.636389 -32.4 6.3 lick
2450027.658333 -25.5 6.2 lick
2450027.683229 -31.9 7.4 lick
2450027.700799 -29. 11. lick
2450027.728241 -33.9 7.4 lick
2450027.749826 -37.5 6.6 lick
2450027.772083 -38.6 6.8 lick
2450028.594676 -47.7 6.5 lick
2450028.617894 -55.8 6.2 lick
2450028.643843 -43.1 6.3 lick
2450028.666296 -44.6 6.6 lick
2450028.689248 -49.9 6.1 lick
2450028.711829 -46.3 6.1 lick
2450028.734387 -47.3 6.1 lick
2450028.757014 -45.1 6.6 lick
2450028.779919 -41.3 6.8 lick
2450029.596875 12.4 6.2 lick
2450029.619178 15.7 6.0 lick
2450029.688750 24.6 6.5 lick
2450029.711366 29.8 6.4 lick
2450029.734039 34.7 6.3 lick
2450029.757454 28.9 5.6 lick
2450030.591157 67.1 7.7 lick
2450030.611435 39.9 7.8 lick
2450030.635255 42.4 9.3 lick
2450030.660972 54. 12. lick
2450030.682650 51.4 7.8 lick
2450030.707581 57.0 9.4 lick
2450030.727882 39.0 7.0 lick
2450030.751111 54.1 6.7 lick
2450030.822326 42.8 6.9 lick
2450030.845255 40.0 7.4 lick
2450031.649803 -7.4 7.0 lick
2450031.672523 -7.8 7.0 lick
2450031.694850 -7.8 7.4 lick
2450031.717118 -7.4 8.4 lick
2450031.739965 -12.9 7.8 lick
2450031.762361 -13.2 8.8 lick
