time mnvel errvel tel
2459097.4549016203 103.48905024718533 11.28639434719934 foces
2459097.465850695 93.59990378237399 2.852685453400261 foces
2459097.4785590284 90.47347406955487 4.178533125309183 foces
2459097.491255787 89.91691204998642 2.826927465701265 foces
2459097.5046585654 86.68458395926973 2.6310990035183215 foces
2459097.517320602 81.86164814868971 2.368628407679948 foces
2459097.5300636576 79.7619371118817 9.948395253098932 foces
2459097.5442766203 78.39706283990381 2.582012431764935 foces
2459101.5007233797 44.34783561014865 12.31460276144879 foces
2459101.5126678245 42.63786982733018 11.208691155965186 foces
2459101.524253472 47.01576966518951 11.304817801723573 foces
2459101.5373668983 43.70137741494909 10.876809056905927 foces
2459101.5493460647 46.74486751875611 11.687208324057062 foces
2459101.5610358794 38.78330205077691 10.915318267333916 foces
2459102.4768692134 -43.95203515893809 12.02847405591149 foces
2459102.4899942135 -45.51865925559923 10.91350173129559 foces
2459102.5026562503 -49.687810971862746 11.2974862526994 foces
2459102.516649306 -58.08100047472635 11.232209499217348 foces
2459102.5295428243 -59.23557388860718 11.11747253586085 foces
2459102.5424247687 -62.753867257966704 11.6172008087164 foces
2459103.391394676 -64.5145945484237 10.36072051642628 foces
2459103.4007002315 -95.6170384216939 7.952213172010517 foces
2459103.4122511577 -91.56101781139205 10.38713486204479 foces
2459103.4241261575 -94.49739063883044 8.914615584727228 foces
2459103.437332176 -96.73752139908265 9.742781935673916 foces
2459103.448883102 -94.20194820774668 8.762583394291847 foces
2459103.460422454 -93.29988547268204 8.4797917150694 foces
2459103.4741840283 -87.44066337120148 10.20762027362126 foces
2459104.488709491 -11.537266301080308 8.772998849662738 foces
2459104.497876158 -27.056259802097884 9.219809884884706 foces
2459104.5094270837 -25.098919966316316 8.12790571588692 foces
2459104.52103588 -24.846623063522202 9.600423766423209 foces
2459104.53359375 -20.287306279377844 8.519468893077828 foces
2459104.545283565 -29.772522660450704 9.22197197910077 foces
2459104.5585127315 -21.12329239844985 8.67205293854251 foces
2459104.57015625 -21.04181967034947 10.024804885930282 foces
2459104.581857639 -16.65221150516936 8.046204082444211 foces
2459105.476545139 41.23664583263326 10.981538929732688 foces
2459105.4881307874 25.466650500758988 10.39721571630595 foces
2459105.500827546 25.13183102635594 8.461692800043284 foces
2459105.51353588 27.681295070508895 10.222718791659528 foces
2459105.5271006944 19.18242827092763 9.948395253098932 foces
2459105.5416840278 21.798107220392012 9.89085039731128 foces
2459105.5546006947 20.209558751804252 9.60605189176306 foces
2459105.5674131946 10.072437314311173 8.378403529622245 foces
2450002.665695 -52.9 4.1 lick
2450002.684340 -45.8 4.8 lick
2450002.800220 -60.8 4.6 lick
2450002.815961 -53.3 5.0 lick
2450002.954711 -60.9 5.5 lick
2450002.968287 -57.3 7.0 lick
2450003.611377 -24.2 5.0 lick
2450003.626898 -30.5 4.6 lick
2450003.642963 -26.0 4.9 lick
2450003.716586 -19.2 4.2 lick
2450003.732488 -23.5 4.3 lick
2450003.747488 -21.2 4.1 lick
2450003.886863 -13.5 4.5 lick
2450003.902315 -14.7 4.7 lick
2450003.917083 -11.9 5.5 lick
2450004.601708 39.7 2.6 lick
2450004.619537 38.0 3.9 lick
2450004.785324 48.8 2.4 lick
2450004.907253 53.2 3.1 lick
2450005.604647 36.6 2.6 lick
2450005.917766 8.7 4.8 lick
2450005.931539 8.2 4.6 lick
2450011.631285 -55.7 6.8 lick
2450011.656319 -56.4 6.1 lick
2450011.826574 -45.6 7.0 lick
2450011.848889 -50.6 6.7 lick
2450012.624850 21.7 7.2 lick
2450012.647407 20.3 7.6 lick
2450012.857500 29.5 8.1 lick
2450012.880313 26. 10. lick
2450013.612662 52.3 6.4 lick
2450013.635625 57.3 6.7 lick
2450013.823021 54.3 7.3 lick
2450013.842350 33. 11. lick
2450014.632407 -8.8 7.4 lick
2450014.654248 -9.5 7.3 lick
2450014.711505 -7.7 7.2 lick
2450014.734514 -15.6 7.4 lick
2450014.804063 -24.4 6.1 lick
2450014.826817 -15.8 6.2 lick
2450014.896100 -37.6 8.8 lick
2450014.919560 -27. 13. lick
2450015.613912 -52.5 7.2 lick
2450015.636215 -61.1 6.1 lick
2450015.734225 -54.7 6.7 lick
2450015.757269 -52.7 6.6 lick
2450015.853368 -65.8 8.1 lick
2450015.876921 -53.8 7.8 lick
2450016.600139 10.8 6.8 lick
2450016.630394 -5.8 6.6 lick
2450016.750521 4.9 6.5 lick
2450016.772500 3.2 7.0 lick
2450016.836400 9.2 8.8 lick
2450016.860336 13.1 9.1 lick
2450017.723137 58.0 5.9 lick
2450017.746840 55.4 6.4 lick
2450017.837141 55.1 7.4 lick
2450017.858681 52.3 9.6 lick
2450018.602975 14.3 8.1 lick
2450018.624167 15.1 6.2 lick
2450018.754653 2.5 7.7 lick
2450018.778021 -2.3 7.7 lick
2450018.845972 -27.0 8.1 lick
2450018.868287 6.1 9.7 lick
