time mnvel errvel tel
2459095.631846065 -14.57001120068071 20.92792935212434 foces
2459097.4549016203 106.45888380865654 11.286394347199348 foces
2459097.465850695 96.56973734384519 2.852685453400261 foces
2459097.4785590284 93.44330763102607 4.178533125309183 foces
2459097.491255787 92.88674561145763 2.826927465701265 foces
2459097.5046585654 89.65441752074094 2.6310990035183215 foces
2459097.517320602 84.83148171016092 2.368628407679948 foces
2459097.5300636576 82.731770673352 10.024804885930282 foces
2459097.5442766203 81.36689640137502 2.582012431764935 foces
2459101.5007233797 47.317669171619855 12.31460276144879 foces
2459101.5126678245 45.60770338880138 11.208691155965186 foces
2459101.524253472 49.985603226660714 11.304817801723573 foces
2459101.5373668983 46.6712109764203 10.876809056905927 foces
2459101.5493460647 49.714701080227314 11.687208324057062 foces
2459101.5610358794 41.753135612248116 10.915318267333916 foces
2459102.4768692134 -40.98220159746688 12.028474055911495 foces
2459102.4899942135 -42.54882569412803 10.913501731295597 foces
2459102.5026562503 -46.71797741039154 11.297486252699427 foces
2459102.516649306 -55.11116691325515 11.232209499217348 foces
2459102.5295428243 -56.26574032713597 11.117472535860859 foces
2459102.5424247687 -59.7840336964955 11.617200808716492 foces
2459103.391394676 -61.5447609869525 10.36072051642628 foces
2459103.4007002315 -92.6472048602227 7.952213172010517 foces
2459103.4122511577 -88.59118424992084 10.387134862044794 foces
2459103.4241261575 -91.52755707735923 8.914615584727228 foces
2459103.437332176 -93.76768783761145 9.742781935673916 foces
2459103.448883102 -91.23211464627548 8.762583394291847 foces
2459103.460422454 -90.33005191121083 8.4797917150694 foces
2459103.4741840283 -84.47082980973028 10.20762027362126 foces
2459103.48572338 -101.46803562324476 59.505534701954275 foces
2459104.488709491 -8.567432739609103 8.772998849662738 foces
2459104.497876158 -24.08642624062668 9.219809884884706 foces
2459104.5094270837 -22.12908640484511 8.127905715886927 foces
2459104.52103588 -21.876789502050997 9.600423766423209 foces
2459104.53359375 -17.31747271790664 8.519468893077828 foces
2459104.545283565 -26.8026890989795 9.22197197910077 foces
2459104.5585127315 -18.153458836978643 8.67205293854251 foces
2459104.57015625 -18.071986108878264 10.024804885930282 foces
2459104.581857639 -13.682377943698157 8.046204082444211 foces
2459105.476545139 44.20647939410446 10.981538929732688 foces
2459105.4881307874 28.436484062230193 10.397215716305956 foces
2459105.500827546 28.101664587827145 8.461692800043284 foces
2459105.51353588 30.6511286319801 10.222718791659528 foces
2459105.5271006944 22.152261832398835 9.948395253098932 foces
2459105.5416840278 24.767940781863217 9.89085039731128 foces
2459105.5546006947 23.179392313275457 9.60605189176306 foces
2459105.5674131946 13.042270875782378 8.378403529622245 foces
2459112.5552488426 -160.8109124997327 55.79507197421524 foces
2459112.5693692127 -154.42180046015983 54.141983007365894 foces
2456565.59182637 -33181.23713520 0.22802804 harps
2456565.71291757 -33172.59663510 0.18685585 harps
2456508.86016730 -33152.93515850 0.21474638 harps
2456468.93916017 -33131.75469970 0.19689485 harps
2456451.83999601 -33146.31581230 0.27497384 harps
2456508.80157008 -33149.30948930 0.24858476 harps
2456565.70119906 -33173.91949390 0.17664398 harps
2456565.66213739 -33177.14168510 0.20347447 harps
2456544.65833902 -33164.21058770 0.42798132 harps
2456540.67000248 -33144.88127240 0.26801799 harps
2456565.60745104 -33180.21052780 0.21671225 harps
2456565.68557440 -33175.05189880 0.18283341 harps
2456565.69729290 -33174.21753800 0.17526248 harps
2456565.59573254 -33181.63556980 0.19827548 harps
2456565.67776206 -33175.23674580 0.20129806 harps
2456544.59974463 -33169.24754370 0.30939985 harps
2456544.59193205 -33168.32393410 0.35897311 harps
2456544.63490127 -33166.41980750 0.28974747 harps
2456565.64651272 -33178.13725380 0.20047802 harps
2456565.65823122 -33178.67477700 0.19663593 harps
2456468.80242949 -33141.86870580 0.29889697 harps
2456508.78594415 -33147.13199820 0.29204158 harps
2456565.58401403 -33182.65768150 0.22298008 harps
2456544.61536980 -33167.95926390 0.25422837 harps
2456565.54104618 -33184.57835420 0.32736493 harps
2456565.53323385 -33185.03715230 0.32400445 harps
2456544.64271385 -33165.18923630 0.34374614 harps
2456508.79375712 -33147.82340060 0.26485290 harps
2456565.61916954 -33181.11544040 0.21078220 harps
2456468.79461631 -33143.39056380 0.20574602 harps
2456508.82891545 -33150.87856410 0.22266539 harps
2456508.82500897 -33149.45645170 0.22536930 harps
2456468.94306676 -33131.88715950 0.20261951 harps
2456565.63088805 -33179.52870450 0.20266525 harps
2456544.67787048 -33163.00614800 0.35872975 harps
2456508.86798027 -33153.25157150 0.23107505 harps
2456565.62307571 -33180.63261670 0.19767372 harps
2456565.56838936 -33183.81520380 0.23055896 harps
2456508.81328953 -33148.96036190 0.23080025 harps
2456565.65041889 -33178.11067030 0.18618983 harps
2456451.84780920 -33146.83918140 0.23134596 harps
2456565.57229553 -33183.29904350 0.23225739 harps
2456468.92744040 -33131.17831470 0.19834418 harps
2456565.53714002 -33186.00881130 0.37902802 harps
2456508.81719601 -33150.31215850 0.21720851 harps
2456565.67385589 -33175.66726380 0.19126647 harps
2456508.84844786 -33152.10990140 0.21547526 harps
2456565.70901140 -33174.14438770 0.17747459 harps
2456565.61135721 -33180.73740110 0.20812881 harps
2456468.78680313 -33141.99105050 0.25866669 harps
2456508.83672841 -33150.82762600 0.23407058 harps
2456508.88751267 -33153.85059770 0.26170089 harps
2456540.67781511 -33143.82774190 0.26935192 harps
2456508.85626082 -33152.35629900 0.23241333 harps
2456565.54495235 -33184.29578200 0.28123637 harps
2456565.52932768 -33185.10204680 0.33537184 harps
2456508.87188675 -33154.19634620 0.25898034 harps
2456506.82879477 -33146.00503960 0.45542301 harps
2456508.84454138 -33150.61337690 0.22678083 harps
2456540.69344037 -33142.62599020 0.33968743 harps
2456508.89141915 -33154.75020540 0.24348694 harps
2456544.60755722 -33168.77640650 0.26005463 harps
2456565.56057703 -33183.50914630 0.25055536 harps
2456565.66994972 -33176.35400130 0.21083626 harps
2456565.63479422 -33180.20390750 0.19421111 harps
2456565.72854224 -33171.38591980 0.18205185 harps
2456565.73635457 -33170.17975810 0.19781360 harps
2456544.65052644 -33164.12809490 0.38279903 harps
2456565.55667086 -33183.66623920 0.28353997 harps
2456508.80547656 -33149.39612990 0.23786705 harps
2456508.87969971 -33154.21486090 0.24437250 harps
2456544.62708868 -33166.62326370 0.28962370 harps
2456565.71682373 -33171.31298220 0.18260607 harps
2456506.82098179 -33145.37049310 0.43683307 harps
2456544.66615161 -33162.29574060 0.53808878 harps
2456508.78203767 -33145.67878050 0.30715459 harps
2456565.55276469 -33184.83426110 0.25512250 harps
2456565.59963871 -33181.33214430 0.21083252 harps
2456540.68562774 -33142.73997860 0.29968848 harps
2456451.83608941 -33146.02211010 0.27942640 harps
2456468.91962722 -33130.96970780 0.20109784 harps
2456468.91181404 -33131.35048970 0.21886690 harps
2456508.77422471 -33146.08068430 0.28668164 harps
2456565.58010787 -33182.01566960 0.22572016 harps
2456468.81024267 -33140.92283060 0.38978918 harps
2456468.93134699 -33131.24097150 0.19945020 harps
2456565.72463607 -33171.25168620 0.17453748 harps
2456565.63870038 -33178.83546550 0.19704689 harps
2456544.61927610 -33168.49204340 0.26219977 harps
2456565.68948056 -33174.95834240 0.18376305 harps
2456544.67396419 -33163.23594820 0.41983695 harps
2453927.05242900 55.09211531 0.52202000 hires
2453982.84908700 14.80187339 0.63349840 hires
2454085.79746500 -57.29100685 0.68680450 hires
2454337.09317700 47.18309381 1.25000950 hires
2454339.04798600 -39.04752822 1.19829540 hires
2454398.85809500 -57.89155967 1.27149020 hires
2454806.77007200 48.62869592 1.31291760 hires
2454838.73161200 -56.20084816 1.34536170 hires
2454964.12884000 37.80455457 1.17322440 hires
2454984.09953900 27.64382173 1.16478310 hires
2454985.11785900 44.39449569 1.04621720 hires
2454986.11879900 -32.79088647 1.08878600 hires
2454987.11867900 -53.19144435 1.08046090 hires
2454988.11957900 19.89239292 1.20011960 hires
2454989.11453900 48.24799522 1.05943910 hires
2455015.05421800 23.87796743 1.03088580 hires
2455016.06846800 -49.96094516 0.95372570 hires
2455019.02183800 42.90030002 1.23301840 hires
2455027.03176800 55.67071062 1.11350560 hires
2455041.93028700 -52.90433523 1.27603200 hires
2455078.08320700 46.96600997 1.11523070 hires
2455106.76550600 31.17858304 1.36771910 hires
2455135.72720600 -18.94728185 1.27837200 hires
2455189.68936500 -56.32270804 1.27399280 hires
2455190.69351500 -23.71203582 1.38433730 hires
2455192.68788500 29.83850068 1.28659620 hires
2455379.09687300 8.66639615 1.08747840 hires
2455404.93073300 -27.27082484 1.32521780 hires
2455435.04776300 -52.64028997 1.21339790 hires
2455704.08125600 49.58369340 1.08196320 hires
2455729.11083600 48.40973628 1.17993530 hires
2455732.02879600 -37.65924088 0.79074950 hires
2455753.07419600 -48.34178811 1.09743150 hires
2455782.86090600 -30.91009879 1.27485570 hires
2455841.78334800 -52.72603793 1.34225030 hires
2456077.12984400 11.73617948 1.10110440 hires
2456477.10492800 -4.88480116 1.21795900 hires
2456529.88588900 11.63455714 1.19283410 hires
2456584.74135200 20.05318460 1.34988260 hires
2456639.68289300 21.81288785 1.22247090 hires
2456847.92615900 -54.10112957 1.08693220 hires
