time mnvel errvel tel
2458737.6209085654 79.87262334035404 11.66094227399701 foces
2458737.6289525465 93.43290466847975 12.690406314279798 foces
2458737.636996528 75.69007219972991 14.95451435784248 foces
2458737.647297454 82.0 17.420891003608922 foces
2458737.6567650465 84.82104627030276 17.629621089804825 foces
2458739.5693807867 -33.844399067042104 13.229506182716541 foces
2458739.57322338 -4.11417966173758 19.427030983982352 foces
2458739.5770891206 -14.04445811142432 16.164363644843935 foces
2458739.5809664354 -16.283133237611764 21.59399607522492 foces
2458739.58484375 -18.71107109152217 14.144157515175324 foces
2458739.5887094913 -35.0543142533279 17.212160917413016 foces
2458739.592586806 -46.14430433210873 16.205616954858463 foces
2458739.596452547 -44.002845727678505 15.173652926244635 foces
2458739.6003298615 -29.72942673338548 11.515536387638608 foces
2458739.6042071762 -39.49443622540275 20.129483165626468 foces
2458742.6323668985 -25.94324131544272 24.92509596572724 foces
2458742.636846065 -29.485040490737447 27.634881104703158 foces
2458742.640711806 -13.825342871034081 30.334254837591025 foces
2458742.6449247687 -28.287633683979948 26.101716476488072 foces
2458742.6487673614 -18.291869251057506 27.447638575587664 foces
2458742.6528298617 -18.855734682445473 25.733018271124443 foces
2458742.656707176 -18.76470019986664 25.075855171706525 foces
2449680.753973 -124.5 6.7 lick
2449942.007812 19.2 9.2 lick
2449969.979618 -20.2 6.5 lick
2449984.852774 -53.0 6.9 lick
2450032.741293 30.6 8.0 lick
2450056.841914 49.7 6.4 lick
2450068.586022 -58.1 7.2 lick
2450068.773306 -60.6 7.4 lick
2450069.598633 4. 12. lick
2450072.602539 -89. 10. lick
2450072.723633 -88.7 9.4 lick
2450073.652344 -60.7 8.9 lick
2450080.780273 -18. 11. lick
2450086.738281 -93.1 9.9 lick
2450087.688477 -22. 10. lick
2450088.740234 53. 10. lick
2450089.709961 5.7 9.7 lick
2450090.645319 -65.0 5.7 lick
2450091.663086 -83. 10. lick
2450299.007812 8. 10. lick
2450325.849609 10.6 9.3 lick
2450326.914062 -30.1 9.1 lick
2450327.917969 33.7 8.5 lick
2450421.567922 143.9 7.2 lick
2450421.755998 135.9 7.0 lick
2450437.686116 38.3 6.9 lick
2450437.870117 46. 10. lick
2450441.770789 37.1 7.3 lick
2450640.982422 -60.2 9.4 lick
2450655.995117 54.0 8.9 lick
2450656.945312 97.6 9.7 lick
2450681.981445 5.8 9.3 lick
2450767.727539 97. 11. lick
2450793.715820 -40.5 9.7 lick
2450977.996094 -68. 11. lick
2450979.992188 66.2 9.3 lick
2451014.980469 -117.3 8.2 lick
2451025.970703 -1.1 8.0 lick
2451026.954102 -28.3 7.9 lick
2451028.006836 -127.5 8.7 lick
2451045.019531 -26.0 9.0 lick
2451046.006836 -116.8 9.0 lick
2451046.985352 -173.5 8.9 lick
2451047.957031 -104.9 8.8 lick
2451048.929538 -28.6 5.8 lick
2451049.916424 -41.8 5.5 lick
2451074.914062 -167.3 7.9 lick
2451100.904297 -99. 11. lick
2451101.877930 -176. 10. lick
2451130.855469 -116. 11. lick
2451131.798828 -17. 10. lick
2451132.721680 9. 11. lick
2451133.840820 -96. 12. lick
2451154.725586 1. 10. lick
2451174.669922 -12. 10. lick
2451175.607422 -75.7 9.9 lick
2451206.644755 34.0 8.4 lick
2451212.673828 -103. 12. lick
2451213.666016 -101. 11. lick
2451239.634619 -51.8 7.6 lick
2451240.646512 -121.5 8.1 lick
2451242.635395 -7.1 7.8 lick
2451351.983398 -130.0 9.1 lick
2451353.962891 -18. 11. lick
2451354.952148 -75.5 9.7 lick
2451362.979257 4.0 5.7 lick
2451363.989258 -26.1 7.6 lick
2451364.975586 -99.2 8.4 lick
2451375.971680 -6.4 8.8 lick
2451376.995117 45.7 8.7 lick
2451377.950412 25.2 5.1 lick
2451378.971819 -52.5 5.1 lick
2451379.975571 -56.6 5.4 lick
2451380.962891 42.9 8.4 lick
2451386.983883 54.8 6.6 lick
2451387.984104 -25.6 5.3 lick
2451388.982799 -43.9 6.2 lick
2451389.986700 45.2 6.6 lick
2451392.000000 31.2 9.2 lick
2451392.990756 -51.8 5.6 lick
2451401.935547 3.1 9.7 lick
2451402.884144 -12.1 6.7 lick
2451403.920873 75.3 6.0 lick
2451405.976562 46.5 8.8 lick
2451406.992188 -17.6 7.7 lick
2451408.022461 35.3 8.7 lick
2451409.984649 98.9 7.4 lick
2451416.786050 1.1 6.2 lick
2451416.976298 9.4 5.4 lick
2451417.799122 83.5 6.8 lick
2451418.934780 111.3 5.6 lick
2451419.900517 44.3 6.0 lick
2451425.951016 1.6 6.3 lick
2451426.959961 97. 12. lick
2451427.953284 149.6 5.7 lick
2451428.934007 76.8 7.1 lick
2451429.971723 9.1 5.9 lick
2451435.955100 81.6 5.8 lick
2451436.803866 144.5 7.7 lick
2451437.975213 103.4 7.7 lick
2451438.897544 35.4 6.8 lick
2451439.872760 22.4 6.2 lick
2451440.856453 108.7 6.7 lick
2451444.982034 71.7 7.1 lick
2451445.921974 147.8 7.0 lick
2451446.942477 130.8 6.7 lick
2451447.933837 33.5 7.2 lick
2451453.861189 43.5 6.1 lick
2451454.806821 118.4 6.6 lick
2451467.857087 27.8 6.3 lick
2451468.830131 127.6 5.9 lick
2451477.863281 98. 11. lick
2451482.801354 137.6 6.5 lick
2451496.718750 123. 12. lick
2451500.814453 86. 12. lick
2451501.706055 125.2 9.8 lick
2451533.726587 79.5 7.1 lick
2451534.725237 96.6 8.6 lick
2451539.664211 30.9 7.1 lick
2451542.641602 56.3 9.2 lick
2451543.635742 85.8 9.5 lick
2451572.597656 -50. 10. lick
2451573.661133 -76. 11. lick
2451581.613281 -38. 11. lick
2451734.000741 14.7 5.5 lick
2451738.996094 -15.2 8.9 lick
2451740.002930 -3.9 9.2 lick
2451742.988281 27.2 7.9 lick
2451743.985352 -38.7 8.3 lick
2451744.986328 7.6 8.4 lick
2451745.985352 98.6 8.5 lick
2451746.975586 85.0 9.4 lick
2451751.001734 95.0 5.4 lick
2451752.997382 -27.2 4.9 lick
2451774.947051 45.9 4.5 lick
2451775.978352 -57.0 4.6 lick
2451778.954949 67.8 4.6 lick
2451780.958042 -67.3 4.5 lick
2451782.978877 60.2 4.7 lick
2451798.943835 -70.7 7.1 lick
2451802.945723 -9.3 5.4 lick
2451803.954132 -80.6 5.6 lick
2451804.933387 -39.8 5.4 lick
2451805.875531 39.6 6.2 lick
2451806.914890 53.1 7.3 lick
2451812.932617 -52.3 9.3 lick
2451813.818750 -82.6 4.6 lick
2451814.879570 14.4 4.9 lick
2451815.915566 52.4 7.1 lick
2451816.801277 -17.6 5.0 lick
2451822.842127 -69.8 6.8 lick
2451823.819696 -30.3 5.7 lick
2451824.862599 48.5 6.3 lick
2451825.806933 -2.0 6.0 lick
2451826.812097 -81.4 6.2 lick
2451830.822066 -26.0 7.8 lick
2451831.785137 -92.8 7.7 lick
2451837.788317 -7.1 8.0 lick
2451865.788127 85.0 5.9 lick
2451866.718709 104.8 7.1 lick
2451877.764205 -10.8 7.4 lick
2451881.625553 60.4 5.7 lick
2451882.629920 3.4 7.1 lick
2451886.666016 46. 11. lick
2451887.665127 10.5 7.4 lick
2451891.761859 3.3 5.7 lick
2451895.651367 27.9 9.7 lick
2451896.712891 8. 12. lick
2452111.937168 26.2 6.7 lick
2452120.937680 61.2 7.1 lick
2452121.895131 -20.3 6.4 lick
2452124.961914 98.6 9.4 lick
2452129.893175 71.3 6.2 lick
2452145.906891 -44.5 7.5 lick
2452146.910367 4.3 6.2 lick
2452147.823362 71.5 6.6 lick
2452148.945312 55.9 7.5 lick
2452156.878906 68.8 7.8 lick
2452157.907390 69.7 5.9 lick
2452158.936535 -8.5 6.1 lick
2452159.898482 -42.1 5.7 lick
2452160.905273 26.2 8.8 lick
2452161.901019 102.3 8.9 lick
2452162.807617 54.4 8.4 lick
2452167.801368 27.9 6.8 lick
2452181.823205 3.0 6.9 lick
2452187.792617 -47.2 5.7 lick
2452219.820117 -92.0 8.0 lick
2452221.683758 46.1 7.8 lick
2452251.638195 -122.2 7.7 lick
2452256.643405 -128.9 6.6 lick
2452262.654797 -54.4 7.1 lick
2452278.617134 -107.2 7.3 lick
2452281.636657 -53.9 7.5 lick
2452491.915194 -147.1 6.0 lick
2452492.962024 -106.6 5.8 lick
2452493.940773 -16.1 5.6 lick
2452508.943530 -52.4 5.5 lick
2452509.857292 -135.1 6.0 lick
2452511.972252 -80.0 5.3 lick
2452512.948002 -31.2 5.1 lick
2452513.942193 -89.1 5.5 lick
2452515.910117 -119.5 5.8 lick
2452520.920799 -102.9 6.4 lick
2452522.890584 -73.6 5.3 lick
2452524.902780 -172.4 5.4 lick
2452534.877012 -99.2 5.8 lick
2452540.926937 -49.6 6.5 lick
2452552.873949 -155.4 7.3 lick
2452553.827162 -64.5 6.6 lick
2452554.814753 -41.2 7.1 lick
2452563.901279 -11.7 6.2 lick
2452564.948249 -94.2 5.3 lick
2452567.018534 -84.6 6.6 lick
2452570.766894 -135.1 6.6 lick
2452574.782243 -115.2 8.1 lick
2452575.734263 -86.4 7.6 lick
2452593.754489 -85.3 7.2 lick
2452594.779998 -10.9 6.9 lick
2452597.739937 -62.6 7.7 lick
2452607.796976 -50.4 6.1 lick
2452854.992181 175.8 6.0 lick
2452889.968750 100.5 8.7 lick
2452891.005859 166.8 8.0 lick
2452893.921285 66.5 5.8 lick
2452894.944146 129.1 4.6 lick
2452896.870345 151.2 4.8 lick
2452897.935595 59.9 5.9 lick
2452925.823606 35.0 5.7 lick
2452937.769576 160.9 5.5 lick
2452970.760557 89.2 5.4 lick
2452982.671671 49.0 6.9 lick
2452990.674094 -34.8 5.1 lick
2452991.680975 20.8 5.0 lick
2452995.720024 -34.4 5.1 lick
2453008.719733 -43.2 6.2 lick
2453009.698242 -67. 11. lick
2453013.645656 -48.3 5.2 lick
2453021.652072 8. 11. lick
2453220.951172 -38.8 8.2 lick
2453247.010742 56.5 8.5 lick
2453247.911839 4.9 4.6 lick
2453251.005859 30.2 8.9 lick
2453260.919994 32.6 6.0 lick
2453262.934851 -88.6 5.0 lick
2453281.939522 -83.8 6.7 lick
2453336.740555 -26.3 6.6 lick
2453337.728516 12. 11. lick
2453340.659638 47.4 4.6 lick
2453360.712488 -3.2 8.6 lick
2453385.657103 88.4 7.1 lick
2453388.639137 -11.5 6.8 lick
2453390.656335 89.9 7.2 lick
2453391.607914 -15.1 7.4 lick
2453595.990000 -46.4 9.3 lick
2453636.894262 -73.6 6.0 lick
2453637.831878 -51.6 5.5 lick
2453742.678424 -172.5 6.2 lick
2453744.651454 -107.6 6.4 lick
2453751.714799 -152.5 7.1 lick
2453755.623546 -102.3 6.7 lick
2453949.966715 -21.2 6.3 lick
2453951.925964 -56.2 7.1 lick
2453953.982045 33.5 6.7 lick
2453957.949399 72.0 6.1 lick
2453964.950948 -98.2 6.8 lick
2453987.893762 -84.4 7.5 lick
2453988.798493 -48.5 7.2 lick
2453989.848108 34.3 4.8 lick
2454046.784403 117.5 7.6 lick
2454047.732188 44.9 7.8 lick
2454049.712196 155.0 7.7 lick
2454072.677353 147.6 6.2 lick
2454073.662756 183.3 6.4 lick
2454097.738150 121.2 7.9 lick
2454099.745312 100.1 6.7 lick
2454102.653101 85.2 6.7 lick
2454103.664012 41.4 6.9 lick
2454134.674130 94.6 6.9 lick
2454311.978214 55.1 5.4 lick
2454337.886835 96.6 5.8 lick
2454414.698341 100.5 7.4 lick
2454426.702957 -65.4 6.5 lick
2454428.702007 70.2 6.8 lick
2450319.492800 94.000000 8.000000 elodie
2450320.436600 93.000000 7.000000 elodie
2450324.565100 116.000000 8.000000 elodie
2450324.572000 119.000000 8.000000 elodie
2450325.526400 24.000000 8.000000 elodie
2450325.532300 24.000000 7.000000 elodie
2450325.647900 17.000000 7.000000 elodie
2450325.653300 12.000000 7.000000 elodie
2450326.584200 -42.000000 8.000000 elodie
2450326.589200 -32.000000 10.00000 elodie
2450327.534500 2.000000 8.000000 elodie
2450327.543000 -1.000000 7.000000 elodie
2450327.671200 5.000000 7.000000 elodie
2450328.543500 120.000000 8.000000 elodie
2450328.559600 104.000000 8.000000 elodie
2450329.491600 93.000000 7.000000 elodie
2450329.496500 85.000000 7.000000 elodie
2450329.619200 68.000000 8.000000 elodie
2450380.472200 12.000000 8.000000 elodie
2450381.411700 -94.000000 8.000000 elodie
2450382.431300 -100.000000 7.000000 elodie
2450384.341800 35.000000 7.000000 elodie
